code,name,details,specs,imageUrl,price,SOH
SEP0002,WPC WALL PANEL CLASSIC 205MMx17MM X 2.9M,CROCODILE ADMIX PROOF 5L,WPC WALL PANEL CLASSIC 205MMx17MM X 2.9M,/Home/Image/18351,475.20,200
SEP0003,WPC WALL PANEL CLASSIC 205MMx17MM X 2.9M,VANACHAI DOOR FRAME FOR ATG2 WPC WHITE,WPC WALL PANEL CLASSIC 205MMx17MM X 2.9M,/Home/Image/18351,475.20,200
SEP0004,WPC WALL PANEL CLASSIC 205MMx17MM X 2.9M,CROCODILE WALL JOINT MORTAR 20KG,WPC WALL PANEL CLASSIC 205MMx17MM X 2.9M,/Home/Image/18351,475.20,200
SEP0005,WPC WALL PANEL CLASSIC 205MMx17MM X 2.9M,FLOOR SKIRTING PVC 10CM X 2.2METER,WPC WALL PANEL CLASSIC 205MMx17MM X 2.9M,/Home/Image/18351,475.20,200
SEP0006,WPC WALL PANEL CLASSIC 159MMx10MM X 2.9M NCW159,CONDIUT TEE BLACK,,/Home/Image/18349,194.40,200
SEP0007,WPC WALL PANEL CLASSIC 159MMx10MM X 2.9M NCW159,AMIG ALUMINIUM HANDLE GAMMA EP.BLACK,,/Home/Image/18349,194.40,200
SEP0008,WPC WALL PANEL CLASSIC 159MMx10MM X 2.9M NCW159,POLYCARBONATE CONNECTOR,,/Home/Image/18349,194.40,200
SEP0009,WPC WALL PANEL CLASSIC 159MMx10MM X 2.9M NCW159,STEEL PROP ADJUSTABLE 2-3M X2MM,,/Home/Image/18349,194.40,200
SEP0010,WPC WALL PANEL CLASSIC 125MMx12MM X 2.9M NCW125,CROCODILE ADMIX CURE 20L,WPC WALL PANEL CLASSIC 125MMx12MM X 2.9M NCW125 (C03),/Home/Image/18348,216.00,200
SEP0011,WPC WALL PANEL CLASSIC 125MMx12MM X 2.9M NCW125,CONDUIT JUNCTION BOX 20MM,WPC WALL PANEL CLASSIC 125MMx12MM X 2.9M NCW125 (C03),/Home/Image/18348,216.00,200
SEP0012,WPC WALL PANEL CLASSIC 125MMx12MM X 2.9M NCW125,AMIG DOOR VIEWER 2,WPC WALL PANEL CLASSIC 125MMx12MM X 2.9M NCW125 (C03),/Home/Image/18348,216.00,200
SEP0013,WPC WALL PANEL CLASSIC 125MMx12MM X 2.9M NCW125,AMIG PIANO HINGE 2,WPC WALL PANEL CLASSIC 125MMx12MM X 2.9M NCW125 (C03),/Home/Image/18348,216.00,200
SEP0014,WPC WALL PANEL CLASSIC 96MMx9MM X 2.9M,CONDUIT JOINT,WPC WALL PANEL CLASSIC 96MMx9MM X 2.9M NCW96,/Home/Image/18346,194.40,200
SEP0015,WPC WALL PANEL CLASSIC 96MMx9MM X 2.9M,CONDIUT TEE BLACK,WPC WALL PANEL CLASSIC 96MMx9MM X 2.9M NCW96,/Home/Image/18346,194.40,200
